ID	Condition	Scenario	CurrentTime	Studypart	Code	TrialType	Delay	Picture	Trialnumber	RT	Stage_number	Stage	Y_coordinate	RespCorrect	Congruency	Session
B (example)		None	2023-09-01/16:24:32	PRACTICE	PRACTICE_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	1	0.0009141999762505293	1	baseline	0	0	congruent	1
B (example)		None	2023-09-01/16:24:32	PRACTICE	PRACTICE_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	1	0.2835065999533981	2	push1	-0.21367	0	congruent	1
B (example)		None	2023-09-01/16:24:32	PRACTICE	PRACTICE_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	1	0.299773900071159	3	push2	-0.36992	0	congruent	1
B (example)		None	2023-09-01/16:24:32	PRACTICE	PRACTICE_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	1	0.3162867999635637	4	push3	-0.52615	0	congruent	1
B (example)		None	2023-09-01/16:24:32	PRACTICE	PRACTICE_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	1	0.349762300029397	5	push4	-0.71365	0	congruent	1
B (example)		None	2023-09-01/16:24:32	PRACTICE	PRACTICE_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	1	0.3825032999739051	5	stage_final	-1.0	1	congruent	1
B (example)		None	2023-09-01/16:24:33	PRACTICE	PRACTICE_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	2	0.0009035000111907721	1	baseline	-5e-05	0	congruent	1
B (example)		None	2023-09-01/16:24:33	PRACTICE	PRACTICE_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	2	0.2344528001267463	2	pull1	0.21361	0	congruent	1
B (example)		None	2023-09-01/16:24:33	PRACTICE	PRACTICE_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	2	0.2508698001038283	3	pull2	0.34643	0	congruent	1
B (example)		None	2023-09-01/16:24:33	PRACTICE	PRACTICE_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	2	0.28445060015656054	4	pull3	0.60427	0	congruent	1
B (example)		None	2023-09-01/16:24:33	PRACTICE	PRACTICE_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	2	0.30145939998328686	5	pull4	0.72927	0	congruent	1
B (example)		None	2023-09-01/16:24:33	PRACTICE	PRACTICE_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	2	0.3331292001530528	5	stage_final	0.97928	1	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_POS_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	3	0.00059079984202981	1	baseline	-5e-05	0	incongruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_POS_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	3	0.3177086999639869	2	push2	-0.30742	0	incongruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_POS_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	3	0.35137219983153045	3	push3	-0.58083	0	incongruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_POS_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	3	0.3676127998623997	4	push4	-0.70584	0	incongruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_POS_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/non_alcoholic/Sparkling/s_1_1_a.jpg	3	0.4003200000151992	4	stage_final	-0.95584	1	incongruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.000605700071901083	1	baseline	-5e-05	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.3168792000506073	2	pull1	0.24486	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.33336569997482	3	pull2	0.40111	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.3512378998566419	4	pull3	0.52615	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.38380130007863045	5	pull4	0.78396	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.5828084999229759	6	baseline	-5e-05	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.7162996998522431	7	push1	-0.21367	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.7330709998495877	8	push2	-0.34649	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.7665417999960482	9	push3	-0.59646	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.7831200999207795	10	push4	-0.72146	0	congruent	1
B (example)		None	2023-09-01/16:24:34	ASSESSMENT	PREAAT_0_NEG_PUSH_LEFT	PUSH	0	experiments/abc/images/set_a/alcoholic/Wine/w_01_1_1_a.jpg	4	0.8156449999660254	10	stage_final	-0.97928	1	congruent	1
B (example)		None	2023-09-01/16:24:35	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/alcoholic/Wine/w_03_1_1_a.jpg	5	0.0007925999816507101	1	baseline	-5e-05	0	incongruent	1
B (example)		None	2023-09-01/16:24:35	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/alcoholic/Wine/w_03_1_1_a.jpg	5	0.4001299000810832	2	pull1	0.21361	0	incongruent	1
B (example)		None	2023-09-01/16:24:35	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/alcoholic/Wine/w_03_1_1_a.jpg	5	0.41685030004009604	3	pull2	0.33861	0	incongruent	1
B (example)		None	2023-09-01/16:24:35	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/alcoholic/Wine/w_03_1_1_a.jpg	5	0.4505159000400454	4	pull3	0.59646	0	incongruent	1
B (example)		None	2023-09-01/16:24:35	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/alcoholic/Wine/w_03_1_1_a.jpg	5	0.4669103000778705	5	pull4	0.72146	0	incongruent	1
B (example)		None	2023-09-01/16:24:35	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_a/alcoholic/Wine/w_03_1_1_a.jpg	5	0.4990596999414265	5	stage_final	0.97928	1	incongruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Water/wa_10_1_1_t.jpg	6	0.0006841998547315598	1	baseline	-5e-05	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Water/wa_10_1_1_t.jpg	6	0.41885669995099306	2	pull1	0.21361	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Water/wa_10_1_1_t.jpg	6	0.43429060000926256	3	pull2	0.36986	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Water/wa_10_1_1_t.jpg	6	0.46826049988158047	4	pull3	0.62771	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Water/wa_10_1_1_t.jpg	6	0.4845034999307245	5	pull4	0.75271	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Water/wa_10_1_1_t.jpg	6	0.5174004998989403	5	stage_final	1.0	1	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Sparkling/s_6_1_t.jpg	7	0.000978600000962615	1	baseline	-5e-05	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Sparkling/s_6_1_t.jpg	7	0.534213799983263	2	pull1	0.24486	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Sparkling/s_6_1_t.jpg	7	0.5504032999742776	3	pull2	0.40893	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Sparkling/s_6_1_t.jpg	7	0.5676650998648256	4	pull3	0.51052	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Sparkling/s_6_1_t.jpg	7	0.6006602998822927	5	pull4	0.76052	0	congruent	1
B (example)		None	2023-09-01/16:24:37	ASSESSMENT	PREAAT_0_POS_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/non_alcoholic/Sparkling/s_6_1_t.jpg	7	0.6329557998105884	5	stage_final	1.0	1	congruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.0006796999368816614	1	baseline	-5e-05	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.3345765999983996	2	push1	-0.27617	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.35059339995495975	3	push2	-0.40117	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.36774130002595484	4	push3	-0.52615	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.40093829995021224	5	push4	-0.78396	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.48414399987086654	6	baseline	-5e-05	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.6011363000143319	7	pull2	0.31518	0	incongruent	1
B (example)		None	2023-09-01/16:24:38	ASSESSMENT	PREAAT_0_NEG_PULL_RIGHT	PULL	0	experiments/abc/images/set_b/alcoholic/Liquor/l_10_1_t.jpg	8	0.6344216000288725	8	pull3	0.59646	0	incongruent	1
